2026-04-23 20:00:08 | chaechae (127.0.0.1) | / | 404
2026-04-23 20:00:08 | chaechae (127.0.0.1) | / | 404
2026-04-23 20:05:46 | chaechae (127.0.0.1) | / | 200
2026-04-23 20:06:18 | chaechae (127.0.0.1) | /index.html | 200
2026-04-23 20:06:29 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-23 20:06:34 | chaechae (127.0.0.1) | /image.png | 200
2026-04-23 20:06:53 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-23 20:07:14 | chaechae (127.0.0.1) | /missing.html | 404
2026-04-23 20:15:54 | chaechae (127.0.0.1) | /index.html | 400
2026-04-23 20:16:11 | chaechae (127.0.0.1) | /index.html | 304
2026-04-23 20:16:23 | chaechae (127.0.0.1) | /index.html | 200
2026-04-23 20:16:55 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-23 20:17:09 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-23 20:17:16 | chaechae (127.0.0.1) | /index.html | 200
2026-04-23 23:29:20 | chaechae (127.0.0.1) | /index.html | 200
2026-04-23 23:29:23 | chaechae (127.0.0.1) | /missing.html | 404
2026-04-23 23:30:28 | chaechae (127.0.0.1) | /image.png | 200
2026-04-23 23:31:54 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-23 23:34:32 | chaechae (127.0.0.1) | /missing.html | 404
2026-04-24 00:45:04 | chaechae (127.0.0.1) | /index.html | 200
2026-04-25 02:51:35 | chaechae (127.0.0.1) | / | 200
2026-04-25 02:53:05 | chaechae (127.0.0.1) | /index.html | 200
2026-04-25 02:53:40 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-25 02:54:19 | chaechae (127.0.0.1) | /index.html | 200
2026-04-25 02:54:21 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-25 02:59:37 | chaechae (127.0.0.1) | /server-claude.py | 404
2026-04-25 02:59:52 | chaechae (127.0.0.1) | /.../server-claude.py | 403
2026-04-25 03:00:56 | chaechae (127.0.0.1) | /.../server.py | 403
2026-04-25 10:03:28 | chaechae (127.0.0.1) | /index.html | 200
2026-04-25 10:03:30 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-25 10:04:59 | chaechae (127.0.0.1) | / | 200
2026-04-25 10:05:15 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-25 10:05:18 | chaechae (127.0.0.1) | /missing.html | 404
2026-04-25 10:05:59 | chaechae (127.0.0.1) | /hello.txt | 200
2026-04-25 10:06:03 | chaechae (127.0.0.1) | /index.html | 200
